sample_index,sequence_id,frame_index,category,component,parameter_group,gradient_norm,max_abs_gradient,finite,component_total_norm_ratio
0,phase8_train_0003,12,visible_high_risk,smooth,late_mobile,1.059051513671875,0.06785885244607925,True,0.05379668896052118
0,phase8_train_0003,12,visible_high_risk,smooth,output_1x1,0.8029952049255371,0.026319818571209908,True,0.04078978474464768
0,phase8_train_0003,12,visible_high_risk,smooth,trajectory_output_branch,1.6032302379608154,0.26216310262680054,True,0.081439360909504
0,phase8_train_0003,12,visible_high_risk,smooth,score_output_branch,0.0,0.0,True,0.0
0,phase8_train_0003,12,visible_high_risk,smooth,shared_head_trunk,1.0310310125350952,0.06353946030139923,True,0.05237333026199397
0,phase8_train_0003,12,visible_high_risk,smooth,all,2.3237392902374268,0.26216310262680054,True,0.11803909272441367
0,phase8_train_0003,12,visible_high_risk,static,late_mobile,5.797458171844482,0.2912037968635559,True,0.29449375219813917
0,phase8_train_0003,12,visible_high_risk,static,output_1x1,4.109450817108154,0.12779858708381653,True,0.20874796414768396
0,phase8_train_0003,12,visible_high_risk,static,trajectory_output_branch,8.972323417663574,1.847865343093872,True,0.455767529645207
0,phase8_train_0003,12,visible_high_risk,static,score_output_branch,0.0,0.0,True,0.0
0,phase8_train_0003,12,visible_high_risk,static,shared_head_trunk,5.175642013549805,0.37240147590637207,True,0.26290732790568566
0,phase8_train_0003,12,visible_high_risk,static,all,12.561368942260742,1.847865343093872,True,0.6380804419628281
0,phase8_train_0003,12,visible_high_risk,guidance,late_mobile,4.385261535644531,0.33146774768829346,True,0.222758334035769
0,phase8_train_0003,12,visible_high_risk,guidance,output_1x1,2.338167190551758,0.11829560250043869,True,0.11877198744723255
0,phase8_train_0003,12,visible_high_risk,guidance,trajectory_output_branch,1.011539340019226,0.19892853498458862,True,0.05138321086730942
0,phase8_train_0003,12,visible_high_risk,guidance,score_output_branch,0.0,0.0,True,0.0
0,phase8_train_0003,12,visible_high_risk,guidance,shared_head_trunk,2.9346349239349365,0.18599189817905426,True,0.149070786621362
0,phase8_train_0003,12,visible_high_risk,guidance,all,5.85942268371582,0.33146774768829346,True,0.29764136638753325
0,phase8_train_0003,12,visible_high_risk,dynamic_raw,late_mobile,2.411637783050537,0.1333761066198349,True,0.12250407654901596
0,phase8_train_0003,12,visible_high_risk,dynamic_raw,output_1x1,1.5247902870178223,0.05696823447942734,True,0.0774548430758737
0,phase8_train_0003,12,visible_high_risk,dynamic_raw,trajectory_output_branch,2.301110029220581,0.4394811689853668,True,0.11688959310082228
0,phase8_train_0003,12,visible_high_risk,dynamic_raw,score_output_branch,0.0,0.0,True,0.0
0,phase8_train_0003,12,visible_high_risk,dynamic_raw,shared_head_trunk,1.8297276496887207,0.10731542110443115,True,0.0929447604597514
0,phase8_train_0003,12,visible_high_risk,dynamic_raw,all,4.096827030181885,0.4394811689853668,True,0.20810671305648648
0,phase8_train_0003,12,visible_high_risk,dynamic_weighted,late_mobile,0.2411540448665619,0.01333541888743639,True,0.012249913224974155
0,phase8_train_0003,12,visible_high_risk,dynamic_weighted,output_1x1,0.15249110758304596,0.005698964931070805,True,0.007746097879080304
0,phase8_train_0003,12,visible_high_risk,dynamic_weighted,trajectory_output_branch,0.2301110029220581,0.04394812136888504,True,0.011688959310082228
0,phase8_train_0003,12,visible_high_risk,dynamic_weighted,score_output_branch,0.0,0.0,True,0.0
0,phase8_train_0003,12,visible_high_risk,dynamic_weighted,shared_head_trunk,0.18297924101352692,0.0107338922098279,True,0.009294805009916455
0,phase8_train_0003,12,visible_high_risk,dynamic_weighted,all,0.4096843898296356,0.04394812136888504,True,0.020810756990688125
0,phase8_train_0003,12,visible_high_risk,score,late_mobile,5.822843074798584,0.30909985303878784,True,0.2957832302932887
0,phase8_train_0003,12,visible_high_risk,score,output_1x1,4.732196807861328,0.17068913578987122,True,0.24038162118274664
0,phase8_train_0003,12,visible_high_risk,score,trajectory_output_branch,0.0,0.0,True,0.0
0,phase8_train_0003,12,visible_high_risk,score,score_output_branch,1.7048335075378418,0.3567604422569275,True,0.08660050691632683
0,phase8_train_0003,12,visible_high_risk,score,shared_head_trunk,6.963763236999512,0.7631275057792664,True,0.35373860479807157
