px,py,pz,qw,qx,qy,qz
-2.471174,-10.456429,1.472930,-0.866321,0.108463,-0.122809,0.471849
-10.424851,-1.935600,3.169262,-0.836993,0.046345,0.024356,0.544704
3.939457,0.454285,2.492808,0.270557,0.038076,0.058824,0.960150
8.303696,16.497475,1.367446,0.892879,0.035844,-0.027332,0.448034
-2.915672,16.408524,0.503264,-0.712538,0.119386,-0.066826,0.688165
15.063702,6.684380,2.426542,-0.975285,0.011064,0.015620,0.220119
19.743496,-10.495190,1.334663,-0.929475,-0.013608,0.054362,0.364603
-18.287403,-14.562192,3.780852,-0.135825,-0.046458,0.040201,0.988826
-8.087082,-4.258911,2.189677,-0.986780,0.017659,-0.066777,0.146609
-8.540152,-4.136652,2.396843,-0.971863,0.091987,0.072083,0.204513
-3.655441,-10.063237,0.849285,0.207793,-0.012003,0.035735,0.977446
-8.805164,18.517937,2.875683,0.991178,0.131859,0.000549,0.013389
-7.155185,2.018623,3.224751,0.984639,-0.023340,-0.069682,0.158383
12.756386,17.593239,1.750740,-0.669918,0.060443,-0.104492,0.732556
-1.557016,6.067064,3.996919,-0.987348,-0.049291,-0.097817,0.114657
-10.588804,9.895899,3.423307,-0.811131,0.033292,0.134656,0.568177
-16.364309,-15.918724,2.133893,-0.604175,-0.048880,-0.045252,0.794063
-5.840073,-14.215147,2.826681,0.825421,0.027441,0.088075,0.556929
-7.803994,15.879593,3.821882,0.340624,-0.045114,-0.004178,0.939107
13.780548,8.517147,2.819917,0.910883,0.186615,-0.036093,0.366286
-6.025143,-13.195891,3.337344,0.952034,-0.042118,0.017632,0.302568
11.583796,-18.325277,3.624090,0.755739,0.059871,0.140437,0.636829
8.441376,-14.814021,2.765714,-0.453213,-0.145934,0.027817,0.878936
-18.607975,5.482500,1.185298,0.732478,0.123018,0.016106,0.669390
12.113377,-11.285374,2.138808,-0.441428,0.099340,0.216527,0.865095
-1.618511,-17.170399,3.684465,-0.370217,-0.100636,-0.123535,0.915178
7.856579,19.944271,2.717783,-0.216082,0.054363,0.003837,0.974853
9.935858,-15.580776,2.463219,-0.174508,-0.059736,0.026186,0.982493
5.570887,-6.599091,1.993963,-0.762564,0.143268,0.021443,0.630484
-2.789753,-5.619432,2.735674,0.963512,0.037355,0.022757,0.264068
9.917269,12.671398,1.075722,0.948729,0.041268,-0.035848,0.311328
9.318640,4.260981,3.070161,0.729504,0.069820,0.014703,0.680245
8.592146,-19.947084,1.006521,0.064242,0.045841,0.070474,0.994387
-13.845108,2.234678,1.275438,-0.203245,0.038642,-0.036496,0.977684
-17.976419,-11.880894,2.960262,-0.811565,-0.079782,-0.112328,0.567784
-2.622093,0.276182,2.390393,0.570474,0.144535,-0.066205,0.805783
-7.600752,-5.582087,2.898739,-0.979012,-0.034180,0.004646,0.200865
3.365997,-11.639609,3.967670,0.392789,0.055353,-0.143217,0.906720
17.467850,-19.112309,2.470776,0.917371,0.009803,0.044696,0.395394
-6.814222,16.405437,1.697464,-0.054755,0.057988,-0.076880,0.993845
16.408146,-1.642076,1.484587,-0.128743,0.043137,-0.099918,0.985688
14.787823,16.699966,1.727628,-0.757360,-0.016712,0.043878,0.651307
-2.996485,1.883057,3.825271,-0.612974,-0.014062,0.031145,0.789364
-18.542160,9.771271,2.979558,-0.941608,0.069131,-0.094674,0.315644
-12.798401,6.307411,1.882311,0.650778,0.046248,0.019032,0.757620
-5.067601,-11.317892,0.603909,-0.680660,0.014398,-0.074668,0.728642
-15.684032,13.230209,2.853494,0.395404,0.021733,0.064821,0.915959
-14.646659,3.270445,0.748948,-0.871951,-0.114650,0.005704,0.475946
-3.552408,11.240971,3.601946,0.467728,-0.022197,-0.136758,0.872947
-9.368093,-2.408516,2.951352,0.577488,0.162576,-0.024849,0.799662
-7.665998,10.941715,1.527933,-0.985442,-0.062097,-0.078660,0.137331
0.305616,-13.772071,3.100073,0.986037,-0.116629,-0.118079,0.013632
7.606209,8.145592,3.033520,0.464200,0.159890,-0.087694,0.866754
14.129929,-8.574862,2.164363,-0.857885,0.127220,0.017712,0.497528
-4.130051,2.426435,3.843169,-0.848210,0.022194,-0.110030,0.517630
19.885315,9.646835,3.389885,-0.931730,-0.207465,-0.061926,0.291552
10.228464,-10.679187,2.845725,0.303210,0.079335,0.093228,0.945028
-19.569738,-18.820351,1.618532,-0.859818,0.029330,0.140084,0.490133
-10.826876,-5.397951,2.860166,-0.897251,-0.060385,-0.019367,0.436942
-5.822550,-12.730058,0.737890,-0.853967,-0.144186,-0.085720,0.492546
18.921329,13.122715,3.552227,0.486836,0.021171,-0.061994,0.871034
10.642736,4.376118,3.629435,-0.199754,-0.053350,-0.027687,0.978001
4.504295,-15.533906,2.184420,0.469475,-0.010792,-0.056105,0.881095
10.846846,-19.089630,1.308431,0.790568,-0.044109,-0.071302,0.606608
